Version,TestID,TestName,Result,Status,ST,MC,BC,HD,ED,CMC,TM,IBC
53,C_16_M_5,org.apache.commons.math.geometry.euclidean.threed.RotationTest::testVectorTwoPairs,0,New,27,33,0.090909091,0.001350812,2999,0.303030303,0,0.090909091
53,C_16_M_6,org.apache.commons.math.geometry.euclidean.threed.RotationTest::testMatrix,0,New,77,26,0.076923077,0.001472268,2738,0.346153846,0,0.076923077
53,C_16_M_7,org.apache.commons.math.geometry.euclidean.threed.RotationTest::testAngles,0,New,29,31,0.032258065,8.24E-04,2918,0.35483871,0,0.032258065
53,C_16_M_8,org.apache.commons.math.geometry.euclidean.threed.RotationTest::testSingularities,0,New,25,24,0.041666667,9.25E-04,2675,0.458333333,0,0.041666667
53,C_16_M_9,org.apache.commons.math.geometry.euclidean.threed.RotationTest::testQuaternion,0,New,14,27,0.037037037,8.79E-04,2772,0.407407407,0,0.037037037
53,C_16_M_10,org.apache.commons.math.geometry.euclidean.threed.RotationTest::testCompose,0,New,12,19,0.052631579,0.001015646,2534,0.315789474,0,0.052631579
53,C_16_M_11,org.apache.commons.math.geometry.euclidean.threed.RotationTest::testComposeInverse,0,New,12,20,0.05,9.96E-04,2560,0.35,0,0.05
53,C_16_M_12,org.apache.commons.math.geometry.euclidean.threed.RotationTest::testApplyInverseTo,0,New,26,18,0.055555556,0.001036024,2510,0.333333333,0,0.055555556
53,C_17_M_1,org.apache.commons.math.geometry.euclidean.twod.LineTest::testContains,0,New,6,22,0.090909091,0.001572902,2615,0.181818182,0,0.090909091
53,C_17_M_2,org.apache.commons.math.geometry.euclidean.twod.LineTest::testAbscissa,0,New,6,22,0.045454545,9.59E-04,2615,0.181818182,0,0.045454545
53,C_17_M_3,org.apache.commons.math.geometry.euclidean.twod.LineTest::testOffset,0,New,4,20,0.05,9.96E-04,2560,0.15,0,0.05
53,C_17_M_4,org.apache.commons.math.geometry.euclidean.twod.LineTest::testPointAt,0,New,13,25,0.04,9.09E-04,2706,0.2,0,0.04
53,C_17_M_5,org.apache.commons.math.geometry.euclidean.twod.LineTest::testOriginOffset,0,New,5,20,0.05,9.96E-04,2560,0.2,0,0.05
53,C_17_M_6,org.apache.commons.math.geometry.euclidean.twod.LineTest::testParallel,0,New,8,21,0.095238095,0.001600387,2586,0.19047619,0,0.095238095
53,C_17_M_7,org.apache.commons.math.geometry.euclidean.twod.LineTest::testTransform,0,New,7,27,0.074074074,0.001449194,2772,0.148148148,0,0.074074074
53,C_17_M_8,org.apache.commons.math.geometry.euclidean.twod.LineTest::testIntersection,0,New,6,21,0.095238095,0.001600387,2586,0.142857143,0,0.095238095
53,C_18_M_1,org.apache.commons.math.geometry.euclidean.twod.SubLineTest::testEndPoints,0,New,9,54,0.018518519,6.09E-04,4100,0.240740741,0,0.018518519
53,C_18_M_2,org.apache.commons.math.geometry.euclidean.twod.SubLineTest::testNoEndPoints,0,New,8,40,0.025,7.23E-04,3326,0.25,0,0.025
53,C_18_M_3,org.apache.commons.math.geometry.euclidean.twod.SubLineTest::testNoSegments,0,New,4,36,0.027777778,7.65E-04,3129,0.111111111,0,0.027777778
53,C_18_M_4,org.apache.commons.math.geometry.euclidean.twod.SubLineTest::testSeveralSegments,0,New,4,78,0.025641026,8.15E-04,5644,0.153846154,0,0.025641026
53,C_18_M_5,org.apache.commons.math.geometry.euclidean.twod.SubLineTest::testHalfInfiniteNeg,0,New,7,51,0.019607843,6.30E-04,3924,0.235294118,0,0.019607843
53,C_18_M_6,org.apache.commons.math.geometry.euclidean.twod.SubLineTest::testHalfInfinitePos,0,New,7,51,0.019607843,6.30E-04,3924,0.235294118,0,0.019607843
53,C_18_M_7,org.apache.commons.math.geometry.euclidean.twod.SubLineTest::testIntersectionInsideInside,0,New,5,40,0.05,0.00120595,3326,0.175,0,0.05
53,C_18_M_8,org.apache.commons.math.geometry.euclidean.twod.SubLineTest::testIntersectionInsideBoundary,0,New,5,42,0.047619048,0.001175852,3430,0.166666667,0,0.047619048
53,C_18_M_9,org.apache.commons.math.geometry.euclidean.twod.SubLineTest::testIntersectionInsideOutside,0,New,5,38,0.026315789,4.88E-04,3224,0.184210526,0,0.026315789
53,C_18_M_10,org.apache.commons.math.geometry.euclidean.twod.SubLineTest::testIntersectionBoundaryBoundary,0,New,5,42,0.047619048,0.001175852,3430,0.166666667,0,0.047619048
53,C_18_M_11,org.apache.commons.math.geometry.euclidean.twod.SubLineTest::testIntersectionBoundaryOutside,0,New,5,40,0.025,4.76E-04,3326,0.175,0,0.025
53,C_18_M_12,org.apache.commons.math.geometry.euclidean.twod.SubLineTest::testIntersectionOutsideOutside,0,New,5,38,0.026315789,4.88E-04,3224,0.184210526,0,0.026315789
53,C_19_M_1,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testSimplyConnected,0,New,8,181,0.027624309,7.40E-04,12853,0.182320442,0,0.027624309
53,C_19_M_2,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testStair,0,New,5,180,0.027777778,7.43E-04,12783,0.188888889,0,0.027777778
53,C_19_M_3,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testHole,0,New,7,177,0.028248588,7.53E-04,12573,0.186440678,0,0.028248588
53,C_19_M_4,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testDisjointPolygons,0,New,8,182,0.027472527,7.37E-04,12923,0.186813187,0,0.027472527
53,C_19_M_5,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testOppositeHyperplanes,0,New,4,178,0.028089888,7.50E-04,12643,0.185393258,0,0.028089888
53,C_19_M_6,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testSingularPoint,0,New,4,178,0.028089888,7.50E-04,12643,0.191011236,0,0.028089888
53,C_19_M_7,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testLineIntersection,0,New,32,121,0.008264463,2.47E-04,8653,0.20661157,0,0.008264463
53,C_19_M_8,org.apache.commons.math.geometry.euclidean.twod.PolygonsSetTest::testUnlimitedSubHyperplane,0,New,9,181,0.027624309,7.40E-04,12853,0.17679558,0,0.027624309
